Region,Region ID,MarCases,AprCases,MayCases,JunCases,MarTest,AprTest,MayTest,JunTest,MarAge,AprAge,MayAge,JunAge,MarMask,AprMask,MayMask,JunMask,MarWork,AprWork,MayWork,JunWork,MarRec,AprRec,MayRec,JunRec,MarDeath,AprDeath,MayDeath,JunDeath,MarRace,AprRace,MayRace,JunRace,MarPoverty,AprPoverty,MayPoverty,JunPoverty,MarHealth,AprHealth,MayHealth,JunHealth
Alabama,1,0,3,3,3,0,0,0,0,1,0,1,0,0,1,1,1,1,1,1,2,1,1,2,2,0,0,1,0,2,2,2,2,3,3,3,3,3,3,3,3
Alaska,2,0,3,0,2,1,1,1,1,0,1,0,1,0,0,0,0,1,1,1,2,1,1,2,3,0,1,1,1,2,2,2,2,1,1,1,1,0,0,0,0
Arizona,3,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,1,1,2,2,0,0,1,0,3,3,3,3,2,2,2,2,2,2,2,2
Arkansas,4,1,2,1,2,0,0,1,0,1,0,1,0,0,0,0,0,1,1,1,2,1,2,2,2,0,1,1,0,1,1,1,1,3,3,3,3,3,3,3,3
California,5,0,1,2,1,0,0,1,1,0,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,0,3,3,3,3,1,1,1,1,1,1,1,1
Colorado,6,0,2,3,1,0,0,0,1,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,2,0,1,0,1,2,2,2,2,0,0,0,0,0,0,0,0
Conneticut,7,0,1,0,3,0,0,0,1,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,2,0,0,0,1,2,2,2,2,0,0,0,0,0,0,0,0
Delaware,8,0,2,1,1,0,0,0,1,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,2,0,0,0,1,2,2,2,2,1,1,1,1,2,2,2,2
Florida,9,0,3,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,2,0,0,1,0,3,3,3,3,2,2,2,2,2,2,2,2
Georgia,10,0,1,3,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,1,1,2,2,0,0,1,1,3,3,3,3,2,2,2,2,2,2,2,2
Hawaii,11,0,3,3,1,1,1,1,1,0,1,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,3,3,3,3,0,0,0,0,0,0,0,0
Idaha,12,0,3,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,1,2,1,1,2,3,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Illinois,13,0,2,3,2,0,0,0,1,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,2,0,0,1,1,2,2,2,2,1,1,1,1,1,1,1,1
Indiana,14,0,1,2,3,0,0,0,1,0,1,0,1,0,0,0,0,1,1,1,2,1,1,2,3,0,1,1,0,1,1,1,1,2,2,2,2,2,2,2,2
Iowa,15,0,0,3,1,1,0,0,0,1,0,1,0,0,0,0,0,1,1,1,2,1,1,2,2,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1
Kansas,16,0,0,3,1,0,0,0,1,0,1,0,1,0,0,0,0,1,1,1,2,1,1,2,2,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
Kentucky,17,0,1,1,1,0,0,1,1,0,1,0,1,0,0,0,0,1,1,1,2,1,1,2,2,0,1,1,1,1,1,1,1,3,3,3,3,2,2,2,2
Louisana,18,0,3,0,3,0,0,0,1,0,1,0,1,0,0,1,1,1,1,1,2,1,1,2,2,0,1,0,1,2,2,2,2,3,3,3,3,3,3,3,3
Maine,19,0,3,1,3,0,1,0,1,0,1,0,1,0,0,1,1,1,1,1,2,1,1,2,2,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1
Maryland,20,0,1,2,3,0,0,0,0,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,2,0,0,1,1,3,3,3,3,0,0,0,0,1,1,1,1
Massachusetts,21,0,2,1,3,0,0,0,1,0,1,0,1,0,0,1,1,1,0,1,1,1,1,1,2,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1
Michigan,22,0,3,0,0,0,0,0,1,0,1,0,1,0,0,1,1,1,0,1,1,1,0,1,2,0,1,1,0,1,1,1,1,2,2,2,2,2,2,2,2
Minnesota,23,0,1,1,1,1,0,0,1,0,1,0,1,0,0,0,0,1,1,1,1,1,1,1,2,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0
Mississippi,24,0,1,2,3,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,2,1,1,2,3,0,0,0,1,2,2,2,2,3,3,3,3,3,3,3,3
Missouri,25,0,3,1,0,0,0,1,1,0,1,0,1,0,0,0,0,1,1,1,2,1,1,2,2,0,1,1,0,1,1,1,1,2,2,2,2,2,2,2,2
Montana,26,0,3,0,0,1,1,1,1,0,1,0,1,0,0,0,0,1,1,2,2,1,1,2,3,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1
Nebraska,27,0,0,2,2,1,0,0,0,1,0,1,0,0,0,0,0,1,1,1,2,1,1,2,2,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Nevada,28,0,3,1,1,0,0,1,1,0,1,0,1,0,0,0,0,1,1,1,1,1,1,1,2,0,1,0,0,3,3,3,3,2,2,2,2,2,2,2,2
New Hampshire,29,0,1,3,3,1,0,0,1,0,1,0,1,0,0,0,0,1,1,1,1,1,1,2,2,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1
New Jersey,30,0,3,3,2,0,0,0,1,0,1,0,1,0,1,1,1,1,0,1,1,1,0,1,1,0,0,0,1,2,2,2,2,0,0,0,0,1,1,1,1
New Mexico,31,0,1,2,1,1,0,1,1,0,1,0,1,0,0,0,1,1,1,1,1,1,1,1,2,0,0,1,1,3,3,3,3,3,3,3,3,1,1,1,1
New York,32,0,3,3,3,0,0,0,1,0,1,0,1,0,0,1,1,1,0,1,1,0,0,1,1,0,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2
North Carolina,33,0,1,0,2,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,1,1,2,2,0,0,1,1,2,2,2,2,2,2,2,2,2,2,2,2
North Dakota,34,0,0,1,2,1,1,1,1,0,1,0,1,0,0,0,0,1,1,2,2,1,1,2,3,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0
Ohio,35,0,0,3,0,1,0,0,1,0,1,0,1,0,0,0,0,1,1,1,2,1,1,2,2,0,0,0,1,1,1,1,1,2,2,2,2,2,2,2,2
Oklahoma,36,0,3,1,0,0,1,1,0,1,0,1,0,0,0,0,0,1,1,1,2,1,1,2,2,0,1,1,1,2,2,2,2,3,3,3,3,3,3,3,3
Oregon,37,0,3,3,2,1,1,1,1,0,1,0,1,0,0,0,0,1,1,1,1,1,1,1,2,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Pennsylvania,38,0,3,3,2,0,0,0,1,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,2,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Rhode Island,39,0,2,3,3,0,0,0,1,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,2,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
South Carolina,40,0,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,2,1,1,2,2,0,1,1,0,2,2,2,2,3,3,3,3,2,2,2,2
South Dakota,41,0,3,3,3,0,0,0,0,1,0,1,0,0,0,0,0,2,1,1,2,1,1,2,3,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Tennessee,42,0,3,3,1,0,0,1,1,0,1,0,1,0,0,0,0,1,1,1,2,1,1,2,2,0,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3
Texas,43,0,3,2,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,1,1,2,2,0,1,0,1,3,3,3,3,2,2,2,2,2,2,2,2
Utah,44,0,0,2,0,1,0,1,0,1,0,1,0,0,0,0,0,1,1,1,1,1,1,2,2,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0
Vermont,45,0,3,3,0,0,1,1,1,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
Virginia,46,0,1,2,2,0,0,0,1,0,1,0,1,0,0,0,1,1,1,1,1,1,1,1,2,0,0,1,1,2,2,2,2,0,0,0,0,1,1,1,1
Washington,47,0,1,2,1,0,0,0,1,0,1,0,1,0,0,0,0,1,1,1,1,1,1,1,2,0,1,1,0,2,2,2,2,0,0,0,0,1,1,1,1
West Virginia,48,0,2,1,0,0,1,1,1,0,1,0,1,0,0,0,0,1,1,1,2,1,1,2,2,0,0,0,1,0,0,0,0,3,3,3,3,3,3,3,3
Wisconsin,49,0,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,1,1,1,2,1,1,1,2,0,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0
Wyoming,50,0,3,0,1,1,1,1,1,0,1,0,1,0,0,0,0,1,1,2,2,1,1,2,3,1,1,0,0,1,1,1,1,0,0,0,0,1,1,1,1